,pos,nega,neu
1002,22,10,7
1003,11,6,4
1004,7,4,3
1005,17,13,4
1006,8,5,2
1007,27,17,13
1008,37,21,17
1009,20,8,7
1010,11,11,4
1011,26,14,5
1012,13,7,6
1013,8,6,3
1014,21,10,6
1015,4,2,0
1016,17,10,4
1017,27,20,13
1018,13,11,8
1019,9,6,3
1020,41,19,11
1021,13,5,4
1022,13,8,4
1023,26,8,4
1024,22,17,12
1025,8,2,2
1026,18,15,10
1027,20,16,14
1028,15,8,5
1029,25,13,13
1030,14,11,6
1031,25,16,10
1032,23,11,4
1033,17,9,3
1034,11,9,7
1035,20,10,8
1036,12,7,4
1037,8,4,3
1038,16,11,7
1039,13,4,4
1040,11,3,2
1041,9,7,3
1042,30,16,16
1043,9,2,2
1044,35,23,13
1045,23,13,8
1046,22,15,10
1047,6,2,1
1048,27,11,6
1049,12,12,3
1050,13,7,7
1051,28,11,5
1052,13,9,8
1053,34,17,17
1054,6,3,3
1055,19,9,6
1056,17,9,3
1057,8,5,3
1058,12,17,3
1059,15,6,4
1060,10,6,6
1061,17,14,9
1062,6,3,1
1063,13,8,2
1064,13,8,6
1065,10,6,4
1066,11,9,6
1067,11,9,8
1068,12,7,5
1069,12,11,11
1070,21,11,15
1071,5,4,3
1072,30,17,14
1073,14,10,9
1074,36,20,14
1075,6,4,2
1076,16,15,12
1077,16,8,5
1078,13,8,7
1079,8,5,2
1080,9,5,4
1081,23,20,15
1082,13,7,4
1083,23,14,13
1084,25,17,15
1085,19,12,9
1086,24,15,10
1087,3,1,0
1088,19,13,8
1089,10,5,5
1090,7,2,2
1091,6,3,3
1092,36,23,11
1093,12,7,7
1094,21,14,9
1095,8,4,2
1096,28,19,12
1097,17,7,7
1098,18,11,6
1099,17,5,4
1100,20,17,9
1101,15,8,2
1102,11,6,6
1103,3,3,2
1104,18,11,7
1105,21,12,9
1106,19,14,11
1107,14,9,5
1108,8,3,2
1109,20,12,10
1110,28,18,17
1111,13,3,2
1112,20,13,13
1113,52,35,21
1114,20,11,7
1115,17,9,5
1116,12,7,4
1117,28,25,17
1118,15,7,5
1119,12,6,6
1120,5,1,1
1121,22,13,8
1122,32,22,13
1123,33,23,24
1124,5,3,2
1125,17,10,5
1126,10,5,4
1127,32,22,15
1128,35,23,19
1129,9,5,5
1130,14,4,3
1131,16,10,10
1132,6,2,1
1133,9,6,4
1134,25,11,11
1135,18,13,5
1136,13,9,3
1137,10,6,3
1138,8,5,4
1139,13,8,8
1140,21,12,8
1141,28,18,11
1142,17,11,10
1143,24,11,11
1144,32,10,7
1145,14,12,6
1146,19,9,6
1147,34,21,15
1148,10,8,4
1149,19,10,12
1150,15,12,11
1151,9,6,5
1152,13,6,4
1153,25,15,14
1154,32,17,15
1155,5,4,1
1156,7,3,3
1157,12,11,5
1158,36,18,9
1159,20,16,13
1160,23,12,10
1161,12,8,6
1162,13,8,9
1163,36,24,21
1164,6,3,4
1165,12,11,7
1166,13,7,15
1167,13,10,7
1168,33,22,16
1169,31,21,13
1170,8,3,3
1171,27,17,16
1172,7,4,4
1173,8,3,4
1174,7,4,3
1175,25,12,10
1176,4,0,1
1177,44,27,25
1178,10,10,8
1179,25,17,9
1180,14,8,7
1181,13,3,2
1182,8,6,4
1183,13,8,6
1184,25,11,8
1185,21,13,11
1186,15,9,8
1187,14,7,8
1188,18,13,9
1189,7,3,4
1190,6,5,2
1191,18,9,6
1192,5,3,1
1193,23,12,10
1194,58,35,33
1195,24,16,14
1196,22,22,13
1197,22,8,5
1198,5,5,3
1199,9,7,4
1200,16,6,4
1201,15,8,8
1202,10,7,2
1203,7,2,2
1204,9,6,4
1205,20,14,8
1206,21,12,11
1207,21,10,10
1208,8,9,5
1209,12,8,4
1210,48,34,20
1211,6,1,1
1212,16,11,16
1213,11,7,4
1214,14,10,9
1215,15,10,8
1216,9,5,4
1217,12,8,9
1218,10,2,1
1219,5,4,5
1220,23,13,10
1221,13,8,2
1222,7,5,4
1223,18,14,9
1224,11,9,7
1225,11,9,8
1226,8,7,6
1227,30,19,13
1228,14,8,3
1229,10,5,3
1230,10,5,3
1231,4,1,1
1232,28,20,14
1233,21,12,13
1234,33,20,19
1235,17,14,9
1236,3,2,1
1237,7,3,2
1238,17,12,7
1239,11,8,3
1240,4,2,1
1241,16,13,11
1242,7,4,3
1243,12,5,4
1244,13,9,8
1245,16,9,8
1246,13,7,6
1247,14,6,2
1248,18,9,6
1249,18,9,9
1250,12,8,4
1251,25,9,5
1252,15,7,4
1253,6,5,5
1254,15,9,6
1255,29,22,12
1256,15,8,8
1257,26,15,9
1258,21,10,7
1259,24,13,8
1260,11,6,4
1261,10,6,3
1262,15,11,10
1263,13,11,6
1264,29,20,17
1265,31,17,16
1266,17,10,9
1267,17,12,10
1268,13,8,6
1269,22,13,13
1270,6,4,2
1271,11,6,2
1272,8,4,2
1273,5,2,2
1274,22,18,12
1275,5,6,3
1276,24,16,10
1277,22,15,8
1278,30,25,18
1279,26,14,8
1280,11,6,5
1281,9,3,1
1282,11,9,6
1283,23,13,5
1284,14,7,8
1285,13,7,3
1286,7,4,2
1287,15,17,7
1288,23,15,7
1289,17,8,7
1290,10,6,5
1291,20,13,13
1292,18,11,7
1293,34,23,17
1294,36,14,6
1295,13,7,2
1296,10,7,5
1297,13,9,8
1298,22,17,10
1299,19,9,6
1300,27,18,17
1301,26,13,8
1302,15,8,7
1303,21,12,10
1304,14,8,6
1305,4,1,1
1306,19,9,7
1307,12,11,6
1308,18,14,9
1309,12,5,5
1310,8,4,2
1311,9,3,3
1312,15,9,5
1313,11,11,8
1314,12,4,4
1315,9,9,6
1316,15,10,4
1317,15,11,8
1318,11,5,3
1319,10,7,3
1320,18,7,2
1321,25,13,6
1322,15,7,5
1323,22,12,3
1324,21,15,11
1325,16,6,2
1326,16,10,11
1327,11,8,5
1328,17,8,4
1329,16,9,7
1330,21,12,5
1331,19,13,11
1332,43,31,23
1333,13,4,1
1334,18,10,8
1335,15,9,5
1336,13,10,7
